Title,Subtitle,Pronoun,Chinese,English,URL,Category,Image_FileName,,
あらう,洗う,arau,洗,to wash,,,,,
あびる,浴びる,abiru,沐浴,to take (a shower),,,,,
シャワー,,shawaa,淋浴,shower,,,,,
じゅんび,準備,junbi,準備,preparation / to prepare,,,,,
まだ,,mada,尚未,not yet,,,,,
もう,,mou,已經,already,,,,,
おわる,終わる,owaru,結束,to end,,,,,
はじまる,始まる,hajimaru,開始,to begin,,,,,
くうこう,空港,kuko,機場,airport,,,,,
チェックイン,,chekuin,旅館登記,check in / to check in,,,,,
チェックアウト,,chekkuauto,退房,check out / to check out,,,,,
は,歯,ha,牙齒,teeth,,,,,
みがく,磨く,migaku,擦,to brush,,,,,
とる,撮る,toru,錄製,to take (a picture / video),,,,,
つくる,作る,tsukuru,制作,to make,,,,,
すわる,座る,suwaru,坐,to sit,,,,,
おくる,送る,okuru,送/寄,to send,,,,,
～じゅう,～中,churu,中間,in the middle of,,,,,
ラジオ,,rajio,收音機,radio,,,,,
きく,聞く,kiku,聽,to hear,,,,,
だす,出す,dasu,拿出/寄出,to take out,,,,,
しゅくだい,宿題,shukudai,功課,homework,,,,,
ようじ,用事,yoji,公務/差事,errand,,,,,
みなさん,皆さん,minasan,大家,everyone,,,,,
にわ,庭,niwa,庭院,garden,,,,,
さくら,桜,sakura,櫻花,cherry blossom,,,,,
き,木,ki,樹,tree,,,,,
はる,春,haru,春,spring,,,,,
なつ,夏,natsu,夏,summer,,,,,
あき,秋,aki,秋,fall,,,,,
ふゆ,冬,fuyu,冬,winter,,,,,
べんとう,弁当,bento,便當,bentoo (lunch box),,,,,
て,手,te,手,hand,,,,,
かお,顔,kao,臉,face,,,,,
ふく,服,fuku,服裝,clothes,,,,,
きたない,汚い,kitanai,骯髒,dirty,,,,,
かいわ,会話,kaiwa,會話,conversation / to converse,,,,,
ぶんぽう,文法,bunpo,語法,grammar,,,,,
てがみ,手紙,tegami,信,letter,,,,,
さい,歳,sai,歳,～years old,,,,,
いくつ,幾つ,ikutsu,幾個/幾歲,how old / how many,,,,,
なる,,naru,成爲,to become,,,,,
あね,姉,ane,姐姐,elder sister(When talking about your own mom),,,,,
おねえさん,お姉さん,onesan,年輕的女士,elder sister,,,,,
いもうと,妹,imoto,妹妹,younger sister,,,,,
おとうと,弟,ototoi,弟弟,younger brother,,,,,
おば,,oba,阿姨,aunt(When talking about your own aunt),,,,,
おばさん,,obasan,阿姨,aunt,,,,,
おじ,,oji,叔叔,uncle(When talking about your own uncle),,,,,
おじさん,,ojisan,叔叔,uncle,,,,,
～ちゃん,,,,suffix added to a girl's first name,,,,,
～くん,,,,suffix added to a boy's first name,,,,,
ハッピーゆうえんち,ハッピー遊園地,happiyuenchi,歡樂遊樂園,an amusement park name,,,,,
かんらんしゃ,観覧車,kanransha,摩天輪,ferries wheel,,,,,
ぜんかい,前回,zenkai,上一次,last time,,,,,
じかい,次回,jikai,下次,next time,,,,,
あめ,雨,ame,雨,rain,,,,,
ゆき,雪,yuki,snow,,,,,,
はれ,晴れ,hare,天晴,clear weather,,,,,
くもり,曇り,kumori,陰天,cloudy weather,,,,,
かぜ,風,kaze,風,wind,,,,,
はれる,晴れる,hareru,解除,to clear (up),,,,,
ふる,降る,furu,下/降,to fall (rain / snow),,,,,
ふく,吹く,fuku,to blow (wind),,,,,,
ごろ,頃,koro,時候/時期/…前後,about / around (used for time),,,,,
じしょ,辞書,jisho,辭典,dictionary,,,,,
でんしじしょ,電子辞書,denshijisho,電子詞典,electronic dictionary,,,,,
じゅぎょう,授業,jugyou,教課,class,,,,,
ふじさん,富士山,fujisan,富士山,Mt. Fuji,,,,,
やま,山,yama,山,mountain,,,,,
のぼる,登る,noburu,爬,to climb,,,,,
しあい,試合,shiai,比賽,match / game,,,,,
かつ,勝つ,katsu,勝,to win,,,,,
りゅうがく,留学,ryuugaku,留學,studying abroad / to study abroad,,,,,
なつやすみ,夏休み,natsuyasumi,暑假,summer vacation,,,,,
ふゆやすみ,冬休み,fuyuyasumi,寒假,winter vacation,,,,,
はるやすみ,春休み,haruyasumi,春假,spring vacation,,,,,
しらべる,調べる,shiraberu,調查/查找,to examine / to search,,,,,
でかける,出かける,dekakeru,即將離開,to go out,,,,,
きゃく,客,kyaku,顧客,customer,,,,,
てんちょう,店長,tencho,店長,store manager,,,,,
ケーキ,,keeki,蛋糕,cake,,,,,
みのり,,minori,美乃里,Minori (a Japanese girl's first name),,,,,
かずこ,和子,kazuko,和子,Kazuko (a Japanese girl's first name),,,,,
たくや,拓也,takuya,拓也,Takuya (a Japanese boy's first name),,,,,
アパート,,apato,公寓,apartment house,,,,,
マンション,,manshon,公寓,condominium,,,,,
くつ,靴,kutsu,鞋,shoes,,,,,
くつした,靴下,kutsuta,襪子,socks,,,,,
ハンカチ,,hankachi,手帕,handkerchief,,,,,
ぼうし,帽子,boshi,帽子,hat / cap,,,,,
うわぎ,上着,uwagi,上衣,jacket,,,,,
コート,,kooto,外套,coat,,,,,
ズボン,,zubon,褲子,pants,,,,,
くつや,靴屋,kutsuya,鞋店,shoe store,,,,,
ぱんや,パン屋,panya,麵包店,bakery,,,,,
パン,,pan,麵包,bread,,,,,
さかなや,魚屋,sakanya,魚店,fish market,,,,,
おもう,思う,omou,想,to think,,,,,
いう,言う,iu,說/講,to say,,,,,
サイズ,,saizu,大小/尺寸,size,,,,,
メートル,,metoru,米/公尺,meters,,,,,
センチ,,senchi,公分,meters,,,,,
はく,履く,haku,穿(鞋),to wear (clothing below the waist),,,,,
きる,着る,kiru,穿,to wear (clothing above the waist),,,,,
かぶる,被る,kaburu,戴上,put on (one's hat),,,,,
ぬぐ,脱ぐ,nugu,脫掉,take off (clothing),,,,,
ひく,弾く,hiku,彈(樂器),to play (a musical instrument),,,,,
ギター,,gitaa,結他/吉他,guitar,,,,,
ピアノ,,piano,鋼琴,piano,,,,,
コンサート,,konsaato,音樂會,concert,,,,,
ちょうど,,choudo,正好,just,,,,,
もちろん,,mochiron,當然,sure / of course,,,,,
いくら,,ikura,多少錢,how much,,,,,
ドル,,doru,美元/元,dollars,,,,,
より,,yori,比較,than,,,,,
いちばん,,ichiban,第一,best / most,,,,,
ほしい,欲しい,hoshi,想要/希望得到,to want,,,,,
おきなわ,沖縄,okinawa,沖縄,Okinawa,,,,,
ほっかいどう,北海道,hokkaido,北海道,Hokkaido,,,,,
ヨーロッパ,,yooroppa,歐洲,Europe,,,,,
アジア,,ajia,亞洲,Asia,,,,,
イタリア,,itaria,義大利,Italy,,,,,
タイ,,tai,泰國,Thailand,,,,,
マレーシア,,mareshia,馬來西亞,Malaysia,,,,,
インドネシア,,indoneshia,印尼,Indonesia,,,,,
どう,,dou,如何/怎樣,how / what,,,,,
ぎゅうにゅう,牛乳,gyunyu,牛奶,milk,,,,,
こども,子供,kodomo,兒童,child,,,,,
ほう,,hou,方向,side / way,,,,,
ピンク,,pinku,粉紅色,pink,,,,,
ビール,,biiru,啤酒,beer,,,,,
ぼうねんかい,忘年会,bonenkai,年終宴會,year-end party,,,,,
しんねんかい,新年会,shinnenkai,新年晚會,new year party,,,,,
よやく,予約,yoyaku,預約/預訂,reservation / to book,,,,,
はなす,話す,hanasu,說話,to talk / to speak,,,,,
しつもん,質問,shitsumon,質問/疑問,question / to ask a question,,,,,
もんだい,問題,mondai,問題,problem / question,,,,,
こたえる,答える,kotaeru,解答/答覆,answer,,,,,
こたえ,答え,kotae,答覆,answer,,,,,
おく,置く,oku,留下/放下,to put down,,,,,
うる,売る,uru,賣,to sell,,,,,
たのむ,頼む,tanomu,請求,to ask / request,,,,,
よぶ,呼ぶ,"呼喚,yobu",to call,,,,,,
こまる,困る,komaru,困難,to have trouble,,,,,
あぶない,危ない,abunai,危險,dangerous,,,,,
あかるい,明るい,akarui,明亮,bright,,,,,
くらい,暗い,kurai,暗,dark,,,,,
でんわかいぎ,電話会議,denwakaigi,電話会議,conference call,,,,,
タクシー,,takushii,出租車,taxi,,,,,
つとめる,勤める,tsutomeru,工作,to work,,,,,
つぎ,次,tsugi,下次,next,,,,,
クラス,,kurasu,(學校的)班,class,,,,,
テスト,,tesuto,測驗,test,,,,,
せいと,生徒,seito,學生,student,,,,,
てつだう,手伝う,tetsudau,幫忙,to help,,,,,
たつ,立つ,tatsu,立/站,to stand,,,,,
みせる,見せる,miseru,顯示,to show,,,,,
しょうがくせい,小学生,shougakusei,小學生,elementary school student,,,,,
ちゅうがくせい,中学生,chuugakusei,中學生,junior high school student,,,,,
こうこうせい,高校生,koukousei,高中生,high school student,,,,,
だいがくせい,大学生,daigakusei,大學生,university student,,,,,
～ねんせい,～年生,nensei,~年級,student in～year,,,,,
でんき,電気,denki,電,electricity,,,,,
つける,点ける,tsukeru,打開,to turn on,,,,,
けす,消す,kesu,關閉/去掉,to turn off / erase,,,,,
しゅっせき,出席,shusseki,出席,attendance / to attend,,,,,
たんご,単語,tango,單詞,word,,,,,
おぼえる,覚える,oboeru,記住,to remember,,,,,
わすれる,忘れる,wasureru,忘記,to forget,,,,,
けいたいでんわ,携帯電話,keitaidenwa,移動電話,cellphone,,,,,
つかう,使う,tsukau,使用,to use,,,,,
うまれる,生まれる,umareru,出生,to be born,,,,,
みんな,,minna,大家,everyone,,,,,
はじめて,,hajimete,最初/初次,first time (doing something),,,,,
ほか,他,hoka,別的/他人,other,,,,,
～かい,～回,kai,次數,counters for frequency,,,,,
～ひき,～匹,hiki,隻/匹,counters for small animals,,,,,
～はい,～杯,hai,杯,counters for drinks in cups and glasses,,,,,
～ほん,～本,hon,本,counters for thin and long things,,,,,
～さつ,～冊,satsu,冊子,counters for books,,,,,
～だい,～台,utena,台,counters for machines and vehicles,,,,,
テープ,,teepu,條/帶,tape,,,,,
あげる,上げる,ageru,提高,to raise / lift (up),,,,,
しけん,試験,shiken,試驗/考試,examination,,,,,
りゅうがくせい,留学生,ryuugakusei,留學生,international student,,,,,
りょうしん,両親,ryoushin,父母,parents,,,,,
よく,,yoku,經常/好,often / well,,,,,
もっと,,motto,再/多一點,more,,,,,
がんばる,頑張る,ganbaru,盡我所能,to do one's best,,,,,
とぶ,飛ぶ,tobu,飛翔,to fly,,,,,
しゅみ,趣味,kyomi,興趣,interest / hobby,,,,,
きえる,消える,kieru,消失,to disappear,,,,,
わたす,渡す,watasu,交出,to hand over,,,,,
いたい,痛い,itai,痛,painful,,,,,
かわいい,可愛い,kawaii,可愛的,cute / lovely,,,,,
かぜ,風邪,kaze,傷風/感冒,a cold (illness),,,,,
ひく,引く,hiku,拉/患(感冒),pull / to catch (a cold),,,,,
からだ,体,karada,身體,body,,,,,
あたま,頭,atama,頭,head,,,,,
あし,足,ashi,腳,foot,,,,,
め,目,me,眼睛,eye,,,,,
はな,鼻,hana,鼻,nose,,,,,
みみ,耳,mimi,耳,ear,,,,,
くち,口,kuchi,嘴,mouth,,,,,
かお,顔,kao,臉,face,,,,,
おなか,お腹,onaka,胃,stomach,,,,,
びょうき,病気,byoki,病,disease,,,,,
くすり,薬,kusuri,藥物,medicine,,,,,
にっき,日記,nikki,日記,diary,,,,,
どうぶつ,動物,dobutsu,動物,animal,,,,,
とり,鳥,tori,鳥,bird,,,,,
インターネット,,intaanetto,互聯網,Internet,,,,,
うんてん,運転,unten,駕駛,driving / to drive,,,,,
やきゅう,野球,yakyu,棒球,baseball,,,,,
たっきゅう,卓球,takkyu,乒乓球,table tennis / ping-pong,,,,,
サッカー,,sakkaa,足球,soccer,,,,,
バスケットボール,,basukettobooru,籃球,basketball,,,,,
プール,,puuru,游泳池,pool,,,,,
うみ,海,umi,海,sea,,,,,
そら,空,sora,天空,sky,,,,,
しかし,,shikashi,但是/然而,but,,,,,
できる,出来る,dekiru,能/會,can,,,,,
ふろ,風呂,furu,洗澡,bath,,,,,
おんせん,温泉,onsen,溫泉,Onsen,,,,,
だいどころ,台所,daidokoro,廚房,kitchen,,,,,
ながい,長い,nagai,長,long,,,,,
みじかい,短い,mijikai,短,short,,,,,
はし,橋,hashi,橋,bridge,,,,,
わね,,wane,緩和說話語氣,to express depth of feeling or emphasis,,,,,
